,SV.,SS.,SM.,OA.,V.,ND.,LC.,U.,8N.,Pokémon,,Format,Index
,1,-,-,-,-,-,-,-,-,Torchic (T),,,
,-,-,1,-,-,-,-,-,-,Torchic (Z),,,
,1,1,1,1,1,1,-,1,1,Combusken,,,
,1,-,-,-,-,-,-,-,-,Combusken (T),,,
,-,-,1,-,-,-,-,-,-,Combusken (Z),,,
,11,13,5,5,6,12,-,15,16,Blaziken,,,
,17,-,-,-,-,-,-,-,-,Blaziken (T),,,
,-,-,5,-,-,-,-,-,-,Blaziken (Z),,,
,-,-,99,99,-,99,-,26,99,Mega Blaziken,,,
,1,1,1,1,1,1,5,1,1,Mudkip,,,
,1,-,-,-,-,-,-,-,-,Mudkip (T),,,
,-,-,1,-,-,-,-,-,-,Mudkip (Z),,,
,1,1,1,1,1,1,-,1,1,Marshtomp,,,
,1,-,-,-,-,-,-,-,-,Marshtomp (T),,,
,-,-,1,-,-,-,-,-,-,Marshtomp (Z),,,
,10,12,9,8,7,10,-,13,12,Swampert,,,
,10,-,-,-,-,-,-,-,-,Swampert (T),,,
,-,-,9,-,-,-,-,-,-,Swampert (Z),,,
,-,-,12,9,-,11,-,12,12,Mega Swampert,,,
,1,-,1,1,1,1,4,1,1,Poochyena,,,
,1,-,-,-,-,-,-,-,-,Poochyena (T),,,
,-,-,1,-,-,-,-,-,-,Poochyena (Z),,,
,1,-,1,1,1,1,-,1,1,Mightyena,,,
,1,-,-,-,-,-,-,-,-,Mightyena (T),,,
,-,-,1,-,-,-,-,-,-,Mightyena (Z),,,
,-,1,1,1,-,1,6,1,1,Zigzagoon,,,
,-,-,-,-,-,-,-,-,-,Zigzagoon (T),,,
,-,-,1,-,-,-,-,-,-,Zigzagoon (Z),,,
,-,1,-,-,-,1,6,1,1,Galarian Zigzagoon,,,
,-,-,-,-,-,-,-,-,-,Galarian Zigzagoon (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Zigzagoon (Z),,,
,-,2,2,2,-,2,-,4,2,Linoone,,,
,-,-,-,-,-,-,-,-,-,Linoone (T),,,
,-,-,2,-,-,-,-,-,-,Linoone (Z),,,
,-,1,-,-,-,1,-,1,1,Galarian Linoone,,,
,-,-,-,-,-,-,-,-,-,Galarian Linoone (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Linoone (Z),,,
,-,-,1,1,-,1,1,1,1,Wurmple,,,
,-,-,-,-,-,-,-,-,-,Wurmple (T),,,
,-,-,1,-,-,-,-,-,-,Wurmple (Z),,,
,-,-,1,1,-,1,-,1,1,Silcoon,,,
,-,-,-,-,-,-,-,-,-,Silcoon (T),,,
,-,-,1,-,-,-,-,-,-,Silcoon (Z),,,
,-,-,1,1,-,1,-,1,1,Beautifly,,,
,-,-,-,-,-,-,-,-,-,Beautifly (T),,,
,-,-,1,-,-,-,-,-,-,Beautifly (Z),,,
,-,-,1,1,-,1,-,1,1,Cascoon,,,
,-,-,-,-,-,-,-,-,-,Cascoon (T),,,
,-,-,1,-,-,-,-,-,-,Cascoon (Z),,,
,-,-,1,1,-,1,-,1,1,Dustox,,,
,-,-,-,-,-,-,-,-,-,Dustox (T),,,
,-,-,1,-,-,-,-,-,-,Dustox (Z),,,
,1,1,1,1,1,1,3,1,1,Lotad,,,
,1,-,-,-,-,-,-,-,-,Lotad (T),,,
,-,-,1,-,-,-,-,-,-,Lotad (Z),,,
,1,1,1,1,1,1,-,1,1,Lombre,,,
,1,-,-,-,-,-,-,-,-,Lombre (T),,,
,-,-,1,-,-,-,-,-,-,Lombre (Z),,,
,3,3,3,4,7,3,-,4,4,Ludicolo,,,
,3,-,-,-,-,-,-,-,-,Ludicolo (T),,,
,-,-,3,-,-,-,-,-,-,Ludicolo (Z),,,
,1,1,1,1,1,1,3,1,1,Seedot,,,
,1,-,-,-,-,-,-,-,-,Seedot (T),,,
,-,-,1,-,-,-,-,-,-,Seedot (Z),,,
,1,1,1,1,1,1,-,1,1,Nuzleaf,,,
,1,-,-,-,-,-,-,-,-,Nuzleaf (T),,,
,-,-,1,-,-,-,-,-,-,Nuzleaf (Z),,,
,2,1,2,3,6,2,-,2,2,Shiftry,,,
,2,-,-,-,-,-,-,-,-,Shiftry (T),,,
,-,-,2,-,-,-,-,-,-,Shiftry (Z),,,
,-,-,1,1,-,1,11,1,1,Taillow,,,
,-,-,-,-,-,-,-,-,-,Taillow (T),,,
,-,-,1,-,-,-,-,-,-,Taillow (Z),,,
,-,-,5,4,-,6,-,5,7,Swellow,,,
,-,-,-,-,-,-,-,-,-,Swellow (T),,,
,-,-,5,-,-,-,-,-,-,Swellow (Z),,,
,1,1,1,1,1,1,12,1,1,Wingull,,,
,1,-,-,-,-,-,-,-,-,Wingull (T),,,
,-,-,1,-,-,-,-,-,-,Wingull (Z),,,
,10,11,11,2,13,11,-,12,11,Pelipper,,,
,10,-,-,-,-,-,-,-,-,Pelipper (T),,,
,-,-,11,-,-,-,-,-,-,Pelipper (Z),,,
,1,1,1,1,1,1,3,1,1,Ralts,,,
,1,-,-,-,-,-,-,-,-,Ralts (T),,,
,-,-,1,-,-,-,-,-,-,Ralts (Z),,,
,1,1,1,1,1,1,-,1,1,Kirlia,,,
,1,-,-,-,-,-,-,-,-,Kirlia (T),,,
,-,-,1,-,-,-,-,-,-,Kirlia (Z),,,
,9,8,7,8,9,9,-,9,10,Gardevoir,,,
,10,-,-,-,-,-,-,-,-,Gardevoir (T),,,
,-,-,7,-,-,-,-,-,-,Gardevoir (Z),,,
,-,-,10,19,-,14,-,13,14,Mega Gardevoir,,,
,1,-,1,1,1,1,8,1,1,Surskit,,,
,1,-,-,-,-,-,-,-,-,Surskit (T),,,
,-,-,1,-,-,-,-,-,-,Surskit (Z),,,
,2,-,1,2,1,2,-,2,1,Masquerain,,,
,2,-,-,-,-,-,-,-,-,Masquerain (T),,,
,-,-,1,-,-,-,-,-,-,Masquerain (Z),,,
,1,-,1,1,1,1,6,1,1,Shroomish,,,
,1,-,-,-,-,-,-,-,-,Shroomish (T),,,
,-,-,1,-,-,-,-,-,-,Shroomish (Z),,,
,7,-,6,6,7,7,-,9,8,Breloom,,,
,7,-,-,-,-,-,-,-,-,Breloom (T),,,
,-,-,6,-,-,-,-,-,-,Breloom (Z),,,
,1,-,1,1,1,1,1,1,1,Slakoth,,,
,1,-,-,-,-,-,-,-,-,Slakoth (T),,,
,-,-,1,-,-,-,-,-,-,Slakoth (Z),,,
,1,-,1,2,1,1,-,2,1,Vigoroth,,,
,1,-,-,-,-,-,-,-,-,Vigoroth (T),,,
,-,-,1,-,-,-,-,-,-,Vigoroth (Z),,,
,1,-,1,1,3,1,-,1,1,Slaking,,,
,1,-,-,-,-,-,-,-,-,Slaking (T),,,
,-,-,1,-,-,-,-,-,-,Slaking (Z),,,
,-,1,1,1,-,1,2,1,1,Nincada,,,
,-,-,-,-,-,-,-,-,-,Nincada (T),,,
,-,-,1,-,-,-,-,-,-,Nincada (Z),,,
,-,1,1,1,-,1,-,1,1,Ninjask,,,
,-,-,-,-,-,-,-,-,-,Ninjask (T),,,
,-,-,1,-,-,-,-,-,-,Ninjask (Z),,,
,-,1,1,1,-,1,-,2,1,Shedinja,,,
,-,-,-,-,-,-,-,-,-,Shedinja (T),,,
,-,-,1,-,-,-,-,-,-,Shedinja (Z),,,
,-,1,1,1,-,1,4,1,1,Whismur,,,
,-,-,-,-,-,-,-,-,-,Whismur (T),,,
,-,-,1,-,-,-,-,-,-,Whismur (Z),,,
,-,1,1,1,-,1,-,1,1,Loudred,,,
,-,-,-,-,-,-,-,-,-,Loudred (T),,,
,-,-,1,-,-,-,-,-,-,Loudred (Z),,,
,-,3,3,3,-,3,-,5,4,Exploud,,,
,-,-,-,-,-,-,-,-,-,Exploud (T),,,
,-,-,3,-,-,-,-,-,-,Exploud (Z),,,
,1,-,1,1,1,1,6,1,1,Makuhita,,,
,1,-,-,-,-,-,-,-,-,Makuhita (T),,,
,-,-,1,-,-,-,-,-,-,Makuhita (Z),,,
,6,-,5,5,12,5,-,7,7,Hariyama,,,
,6,-,-,-,-,-,-,-,-,Hariyama (T),,,
,-,-,5,-,-,-,-,-,-,Hariyama (Z),,,
,1,1,1,1,1,1,4,1,1,Azurill,,,
,1,-,-,-,-,-,-,-,-,Azurill (T),,,
,-,-,1,-,-,-,-,-,-,Azurill (Z),,,
,1,-,1,1,1,1,8,1,1,Nosepass,,,
,1,-,-,-,-,-,-,-,-,Nosepass (T),,,
,-,-,1,-,-,-,-,-,-,Nosepass (Z),,,
,-,-,1,1,-,1,5,1,1,Skitty,,,
,-,-,-,-,-,-,-,-,-,Skitty (T),,,
,-,-,1,-,-,-,-,-,-,Skitty (Z),,,
,-,-,1,1,-,1,-,1,1,Delcatty,,,
,-,-,-,-,-,-,-,-,-,Delcatty (T),,,
,-,-,1,-,-,-,-,-,-,Delcatty (Z),,,
,5,5,3,6,11,5,-,5,5,Sableye,,,
,5,-,-,-,-,-,-,-,-,Sableye (T),,,
,-,-,3,-,-,-,-,-,-,Sableye (Z),,,
,-,-,9,11,-,10,-,10,9,Mega Sableye,,,
,-,1,1,3,-,1,-,1,2,Mawile,,,
,-,-,-,-,-,-,-,-,-,Mawile (T),,,
,-,-,1,-,-,-,-,-,-,Mawile (Z),,,
,-,-,18,99,-,18,-,15,19,Mega Mawile,,,
,-,1,1,1,-,1,6,1,1,Aron,,,
,-,-,-,-,-,-,-,-,-,Aron (T),,,
,-,-,1,-,-,-,-,-,-,Aron (Z),,,
,-,1,1,1,-,1,-,1,1,Lairon,,,
,-,-,-,-,-,-,-,-,-,Lairon (T),,,
,-,-,1,-,-,-,-,-,-,Lairon (Z),,,
,-,1,1,3,-,2,-,2,2,Aggron,,,
,-,-,-,-,-,-,-,-,-,Aggron (T),,,
,-,-,1,-,-,-,-,-,-,Aggron (Z),,,
,-,-,5,7,-,8,-,10,11,Mega Aggron,,,
,1,-,1,1,1,1,4,1,1,Meditite,,,
,1,-,-,-,-,-,-,-,-,Meditite (T),,,
,-,-,1,-,-,-,-,-,-,Meditite (Z),,,
,3,-,4,4,7,4,-,6,5,Medicham,,,
,3,-,-,-,-,-,-,-,-,Medicham (T),,,
,-,-,4,-,-,-,-,-,-,Medicham (Z),,,
,-,-,14,14,-,17,-,14,16,Mega Medicham,,,
,-,1,1,1,-,1,6,1,1,Electrike,,,
,-,-,-,-,-,-,-,-,-,Electrike (T),,,
,-,-,1,-,-,-,-,-,-,Electrike (Z),,,
,-,1,2,3,-,2,-,2,2,Manectric,,,
,-,-,-,-,-,-,-,-,-,Manectric (T),,,
,-,-,2,-,-,-,-,-,-,Manectric (Z),,,
,-,-,9,12,-,3,-,3,4,Mega Manectric,,,
,1,-,1,1,1,1,-,1,1,Plusle,,,
,1,-,-,-,-,-,-,-,-,Plusle (T),,,
,-,-,1,-,-,-,-,-,-,Plusle (Z),,,
,1,-,1,1,1,1,-,1,1,Minun,,,
,1,-,-,-,-,-,-,-,-,Minun (T),,,
,-,-,1,-,-,-,-,-,-,Minun (Z),,,
,2,-,2,2,15,1,-,1,1,Volbeat,,,
,2,-,-,-,-,-,-,-,-,Volbeat (T),,,
,-,-,2,-,-,-,-,-,-,Volbeat (Z),,,
,2,-,2,2,15,2,-,2,1,Illumise,,,
,2,-,-,-,-,-,-,-,-,Illumise (T),,,
,-,-,2,-,-,-,-,-,-,Illumise (Z),,,
,-,4,4,5,-,3,-,4,5,Roselia,,,
,-,-,-,-,-,-,-,-,-,Roselia (T),,,
,-,-,4,-,-,-,-,-,-,Roselia (Z),,,
,1,-,1,1,1,1,6,1,1,Gulpin,,,
,1,-,-,-,-,-,-,-,-,Gulpin (T),,,
,-,-,1,-,-,-,-,-,-,Gulpin (Z),,,
,2,-,1,1,1,1,-,1,1,Swalot,,,
,2,-,-,-,-,-,-,-,-,Swalot (T),,,
,-,-,1,-,-,-,-,-,-,Swalot (Z),,,
,-,1,1,1,-,1,13,1,1,Carvanha,,,
,-,-,-,-,-,-,-,-,-,Carvanha (T),,,
,-,-,1,-,-,-,-,-,-,Carvanha (Z),,,
,-,3,4,5,-,5,-,5,5,Sharpedo,,,
,-,-,-,-,-,-,-,-,-,Sharpedo (T),,,
,-,-,4,-,-,-,-,-,-,Sharpedo (Z),,,
,-,-,11,8,-,10,-,8,11,Mega Sharpedo,,,
,-,1,1,1,-,1,6,1,1,Wailmer,,,
,-,-,-,-,-,-,-,-,-,Wailmer (T),,,
,-,-,1,-,-,-,-,-,-,Wailmer (Z),,,
,-,1,1,1,-,1,-,1,1,Wailord,,,
,-,-,-,-,-,-,-,-,-,Wailord (T),,,
,-,-,1,-,-,-,-,-,-,Wailord (Z),,,
,1,-,1,1,1,1,7,1,1,Numel,,,
,1,-,-,-,-,-,-,-,-,Numel (T),,,
,-,-,1,-,-,-,-,-,-,Numel (Z),,,
,1,-,1,2,2,1,-,1,2,Camerupt,,,
,1,-,-,-,-,-,-,-,-,Camerupt (T),,,
,-,-,1,-,-,-,-,-,-,Camerupt (Z),,,
,-,-,2,2,-,2,-,2,3,Mega Camerupt,,,
,8,5,5,2,13,11,-,6,6,Torkoal,,,
,8,-,-,-,-,-,-,-,-,Torkoal (T),,,
,-,-,5,-,-,-,-,-,-,Torkoal (Z),,,
,1,-,1,1,1,1,6,1,1,Spoink,,,
,1,-,-,-,-,-,-,-,-,Spoink (T),,,
,-,-,1,-,-,-,-,-,-,Spoink (Z),,,
,1,-,1,2,2,1,-,1,1,Grumpig,,,
,1,-,-,-,-,-,-,-,-,Grumpig (T),,,
,-,-,1,-,-,-,-,-,-,Grumpig (Z),,,
,-,-,1,1,-,1,-,1,1,Spinda,,,
,-,-,-,-,-,-,-,-,-,Spinda (T),,,
,-,-,1,-,-,-,-,-,-,Spinda (Z),,,
,1,1,1,1,1,1,10,1,1,Trapinch,,,
,1,-,-,-,-,-,-,-,-,Trapinch (T),,,
,-,-,1,-,-,-,-,-,-,Trapinch (Z),,,
,1,1,1,1,1,1,-,1,1,Vibrava,,,
,1,-,-,-,-,-,-,-,-,Vibrava (T),,,
,-,-,1,-,-,-,-,-,-,Vibrava (Z),,,
,4,4,4,5,4,5,-,7,6,Flygon,,,
,4,-,-,-,-,-,-,-,-,Flygon (T),,,
,-,-,4,-,-,-,-,-,-,Flygon (Z),,,
,1,-,1,1,1,1,6,1,1,Cacnea,,,
,1,-,-,-,-,-,-,-,-,Cacnea (T),,,
,-,-,1,-,-,-,-,-,-,Cacnea (Z),,,
,1,-,1,1,1,1,-,2,1,Cacturne,,,
,1,-,-,-,-,-,-,-,-,Cacturne (T),,,
,-,-,1,-,-,-,-,-,-,Cacturne (Z),,,
,1,1,1,1,1,1,5,1,1,Swablu,,,
,1,-,-,-,-,-,-,-,-,Swablu (T),,,
,-,-,1,-,-,-,-,-,-,Swablu (Z),,,
,2,1,1,1,2,2,-,2,1,Altaria,,,
,2,-,-,-,-,-,-,-,-,Altaria (T),,,
,-,-,1,-,-,-,-,-,-,Altaria (Z),,,
,-,-,7,15,-,11,-,9,10,Mega Altaria,,,
,2,-,3,3,1,2,-,3,4,Zangoose,,,
,2,-,-,-,-,-,-,-,-,Zangoose (T),,,
,-,-,3,-,-,-,-,-,-,Zangoose (Z),,,
,1,-,1,1,1,1,-,1,1,Seviper,,,
,1,-,-,-,-,-,-,-,-,Seviper (T),,,
,-,-,1,-,-,-,-,-,-,Seviper (Z),,,
,-,1,1,1,-,1,-,1,1,Lunatone,,,
,-,-,-,-,-,-,-,-,-,Lunatone (T),,,
,-,-,1,-,-,-,-,-,-,Lunatone (Z),,,
,-,1,1,2,-,1,-,2,1,Solrock,,,
,-,-,-,-,-,-,-,-,-,Solrock (T),,,
,-,-,1,-,-,-,-,-,-,Solrock (Z),,,
,1,1,1,1,1,1,5,1,1,Barboach,,,
,1,-,-,-,-,-,-,-,-,Barboach (T),,,
,-,-,1,-,-,-,-,-,-,Barboach (Z),,,
,1,1,1,1,1,1,-,1,1,Whiscash,,,
,1,-,-,-,-,-,-,-,-,Whiscash (T),,,
,-,-,1,-,-,-,-,-,-,Whiscash (Z),,,
,1,1,1,1,1,1,11,1,1,Corphish,,,
,1,-,-,-,-,-,-,-,-,Corphish (T),,,
,-,-,1,-,-,-,-,-,-,Corphish (Z),,,
,3,7,6,6,3,4,-,8,8,Crawdaunt,,,
,3,-,-,-,-,-,-,-,-,Crawdaunt (T),,,
,-,-,6,-,-,-,-,-,-,Crawdaunt (Z),,,
,-,1,1,1,-,1,8,1,1,Baltoy,,,
,-,-,-,-,-,-,-,-,-,Baltoy (T),,,
,-,-,1,-,-,-,-,-,-,Baltoy (Z),,,
,-,2,3,3,-,3,-,3,3,Claydol,,,
,-,-,-,-,-,-,-,-,-,Claydol (T),,,
,-,-,3,-,-,-,-,-,-,Claydol (Z),,,
,-,1,1,1,-,1,7,1,1,Lileep,,,
,-,-,-,-,-,-,-,-,-,Lileep (T),,,
,-,-,1,-,-,-,-,-,-,Lileep (Z),,,
,-,1,1,1,-,1,-,2,1,Cradily,,,
,-,-,-,-,-,-,-,-,-,Cradily (T),,,
,-,-,1,-,-,-,-,-,-,Cradily (Z),,,
,-,1,1,1,-,1,9,1,1,Anorith,,,
,-,-,-,-,-,-,-,-,-,Anorith (T),,,
,-,-,1,-,-,-,-,-,-,Anorith (Z),,,
,-,1,1,1,-,2,-,2,1,Armaldo,,,
,-,-,-,-,-,-,-,-,-,Armaldo (T),,,
,-,-,1,-,-,-,-,-,-,Armaldo (Z),,,
,1,1,1,1,1,1,1,1,1,Feebas,,,
,1,-,-,-,-,-,-,-,-,Feebas (T),,,
,-,-,1,-,-,-,-,-,-,Feebas (Z),,,
,7,9,8,8,10,8,-,12,11,Milotic,,,
,7,-,-,-,-,-,-,-,-,Milotic (T),,,
,-,-,8,-,-,-,-,-,-,Milotic (Z),,,
,-,-,1,1,-,1,-,1,1,Castform,,,
,-,-,-,-,-,-,-,-,-,Castform (T),,,
,-,-,1,-,-,-,-,-,-,Castform (Z),,,
,-,-,-,-,-,-,-,-,-,-,,,
,-,-,-,-,-,-,-,-,-,- (T),,,
,-,-,-,-,-,-,-,-,-,- (Z),,,
,-,-,-,-,-,-,-,-,-,-,,,
,-,-,-,-,-,-,-,-,-,- (T),,,
,-,-,-,-,-,-,-,-,-,- (Z),,,
,-,-,-,-,-,-,-,-,-,-,,,
,-,-,-,-,-,-,-,-,-,- (T),,,
,-,-,-,-,-,-,-,-,-,- (Z),,,
,-,-,2,3,-,2,-,4,3,Kecleon,,,
,-,-,-,-,-,-,-,-,-,Kecleon (T),,,
,-,-,2,-,-,-,-,-,-,Kecleon (Z),,,
,1,-,1,1,1,1,3,1,1,Shuppet,,,
,1,-,-,-,-,-,-,-,-,Shuppet (T),,,
,-,-,1,-,-,-,-,-,-,Shuppet (Z),,,
,1,-,1,1,1,1,-,1,1,Banette,,,
,1,-,-,-,-,-,-,-,-,Banette (T),,,
,-,-,1,-,-,-,-,-,-,Banette (Z),,,
,-,-,1,1,-,3,-,1,1,Mega Banette,,,
,1,1,1,1,1,1,5,1,1,Duskull,,,
,1,-,-,-,-,-,-,-,-,Duskull (T),,,
,-,-,1,-,-,-,-,-,-,Duskull (Z),,,
,1,2,2,4,9,2,-,4,4,Dusclops,,,
,1,-,-,-,-,-,-,-,-,Dusclops (T),,,
,-,-,2,-,-,-,-,-,-,Dusclops (Z),,,
,1,-,1,1,1,1,-,1,1,Tropius,,,
,1,-,-,-,-,-,-,-,-,Tropius (T),,,
,-,-,1,-,-,-,-,-,-,Tropius (Z),,,
,1,-,1,1,1,1,-,1,1,Chimecho,,,
,1,-,-,-,-,-,-,-,-,Chimecho (T),,,
,-,-,1,-,-,-,-,-,-,Chimecho (Z),,,
,-,1,1,1,-,1,-,1,1,Absol,,,
,-,-,-,-,-,-,-,-,-,Absol (T),,,
,-,-,1,-,-,-,-,-,-,Absol (Z),,,
,-,-,2,2,-,2,-,1,2,Mega Absol,,,
,-,1,1,1,-,1,4,1,1,Wynaut,,,
,-,-,-,-,-,-,-,-,-,Wynaut (T),,,
,-,-,1,-,-,-,-,-,-,Wynaut (Z),,,
,1,1,1,1,1,1,4,1,1,Snorunt,,,
,1,-,-,-,-,-,-,-,-,Snorunt (T),,,
,-,-,1,-,-,-,-,-,-,Snorunt (Z),,,
,1,1,1,1,1,1,-,1,1,Glalie,,,
,1,-,-,-,-,-,-,-,-,Glalie (T),,,
,-,-,1,-,-,-,-,-,-,Glalie (Z),,,
,-,-,3,5,-,3,-,3,4,Mega Glalie,,,
,-,1,1,1,-,1,4,1,1,Spheal,,,
,-,-,-,-,-,-,-,-,-,Spheal (T),,,
,-,-,1,-,-,-,-,-,-,Spheal (Z),,,
,-,1,1,1,-,1,-,1,1,Sealeo,,,
,-,-,-,-,-,-,-,-,-,Sealeo (T),,,
,-,-,1,-,-,-,-,-,-,Sealeo (Z),,,
,-,1,1,2,-,1,-,1,3,Walrein,,,
,-,-,-,-,-,-,-,-,-,Walrein (T),,,
,-,-,1,-,-,-,-,-,-,Walrein (Z),,,
,-,-,1,1,-,1,8,1,1,Clamperl,,,
,-,-,-,-,-,-,-,-,-,Clamperl (T),,,
,-,-,1,-,-,-,-,-,-,Clamperl (Z),,,
,-,-,1,1,-,2,-,1,2,Huntail,,,
,-,-,-,-,-,-,-,-,-,Huntail (T),,,
,-,-,1,-,-,-,-,-,-,Huntail (Z),,,
,-,-,2,1,-,2,-,2,2,Gorebyss,,,
,-,-,-,-,-,-,-,-,-,Gorebyss (T),,,
,-,-,2,-,-,-,-,-,-,Gorebyss (Z),,,
,-,1,1,2,-,1,-,2,1,Relicanth,,,
,-,-,-,-,-,-,-,-,-,Relicanth (T),,,
,-,-,1,-,-,-,-,-,-,Relicanth (Z),,,
,1,-,1,1,1,1,-,1,1,Luvdisc,,,
,1,-,-,-,-,-,-,-,-,Luvdisc (T),,,
,-,-,1,-,-,-,-,-,-,Luvdisc (Z),,,
,1,1,1,1,1,1,7,1,1,Bagon,,,
,1,-,-,-,-,-,-,-,-,Bagon (T),,,
,-,-,1,-,-,-,-,-,-,Bagon (Z),,,
,1,1,1,1,1,1,-,1,1,Shelgon,,,
,1,-,-,-,-,-,-,-,-,Shelgon (T),,,
,-,-,1,-,-,-,-,-,-,Shelgon (Z),,,
,9,8,9,10,10,10,-,12,12,Salamence,,,
,15,-,-,-,-,-,-,-,-,Salamence (T),,,
,-,-,9,-,-,-,-,-,-,Salamence (Z),,,
,-,-,99,99,-,99,-,25,99,Mega Salamence,,,
,1,1,1,1,1,1,3,1,1,Beldum,,,
,1,-,-,-,-,-,-,-,-,Beldum (T),,,
,-,-,1,-,-,-,-,-,-,Beldum (Z),,,
,1,1,1,1,1,1,-,1,1,Metang,,,
,1,-,-,-,-,-,-,-,-,Metang (T),,,
,-,-,1,-,-,-,-,-,-,Metang (Z),,,
,12,12,11,13,13,12,-,11,12,Metagross,,,
,12,-,-,-,-,-,-,-,-,Metagross (T),,,
,-,-,11,-,-,-,-,-,-,Metagross (Z),,,
,-,-,99,99,-,99,-,24,99,Mega Metagross,,,
,4,4,2,4,7,2,-,4,4,Regirock,,,
,4,-,-,-,-,-,-,-,-,Regirock (T),,,
,-,-,2,-,-,-,-,-,-,Regirock (Z),,,
,2,1,1,2,3,2,-,2,2,Regice,,,
,2,-,-,-,-,-,-,-,-,Regice (T),,,
,-,-,1,-,-,-,-,-,-,Regice (Z),,,
,4,6,8,10,9,7,-,11,10,Registeel,,,
,4,-,-,-,-,-,-,-,-,Registeel (T),,,
,-,-,8,-,-,-,-,-,-,Registeel (Z),,,
,14,12,12,14,11,13,-,13,13,Latias,,,
,-,-,-,-,-,-,-,-,-,Latias (T),,,
,-,-,12,-,-,-,-,-,-,Latias (Z),,,
,-,-,99,99,-,99,-,9,99,Mega Latias,,,
,14,16,17,17,11,15,-,14,16,Latios,,,
,-,-,-,-,-,-,-,-,-,Latios (T),,,
,-,-,17,-,-,-,-,-,-,Latios (Z),,,
,-,-,99,99,-,17,-,2,99,Mega Latios,,,
,99,99,99,99,99,99,-,99,99,Kyogre,,,
,99,-,-,-,-,-,-,-,-,Kyogre (T),,,
,-,-,99,-,-,-,-,-,-,Kyogre (Z),,,
,-,-,99,99,-,99,-,28,99,Primal Kyogre,,,
,99,99,99,99,99,99,-,28,99,Groudon,,,
,99,-,-,-,-,-,-,-,-,Groudon (T),,,
,-,-,99,-,-,-,-,-,-,Groudon (Z),,,
,-,-,99,99,-,99,-,99,99,Primal Groudon,,,
,99,99,99,99,99,99,-,26,99,Rayquaza,,,
,99,-,-,-,-,-,-,-,-,Rayquaza (T),,,
,-,-,99,-,-,-,-,-,-,Rayquaza (Z),,,
,-,-,99,99,-,99,-,99,99,Mega Rayquaza,,,
,13,13,12,14,99,13,-,15,13,Jirachi,,,
,13,-,-,-,-,-,-,-,-,Jirachi (T),,,
,-,-,12,-,-,-,-,-,-,Jirachi (Z),,,
,99,-,99,99,99,99,-,23,99,Deoxys,,,
,99,-,-,-,-,-,-,-,-,Deoxys (T),,,
,-,-,99,-,-,-,-,-,-,Deoxys (Z),,,
,99,-,99,99,-,99,-,25,99,Deoxys-Attack,,,
,99,-,-,-,-,-,-,-,-,Deoxys-Attack (T),,,
,-,-,99,-,-,-,-,-,-,Deoxys-Attack (Z),,,
,10,-,10,12,-,10,-,14,12,Deoxys-Defense,,,
,10,-,-,-,-,-,-,-,-,Deoxys-Defense (T),,,
,-,-,10,-,-,-,-,-,-,Deoxys-Defense (Z),,,
,17,-,99,99,-,18,-,18,19,Deoxys-Speed,,,
,-,-,-,-,-,-,-,-,-,Deoxys-Speed (T),,,
,-,-,99,-,-,-,-,-,-,Deoxys-Speed (Z),,,
,1,-,1,1,1,1,9,1,1,Turtwig,,,
,1,-,-,-,-,-,-,-,-,Turtwig (T),,,
,-,-,1,-,-,-,-,-,-,Turtwig (Z),,,
,1,-,1,2,1,1,-,2,2,Grotle,,,
,1,-,-,-,-,-,-,-,-,Grotle (T),,,
,-,-,1,-,-,-,-,-,-,Grotle (Z),,,
,4,-,2,3,6,4,-,4,3,Torterra,,,
,5,-,-,-,-,-,-,-,-,Torterra (T),,,
,-,-,2,-,-,-,-,-,-,Torterra (Z),,,
,1,-,1,1,1,1,7,1,1,Chimchar,,,
,1,-,-,-,-,-,-,-,-,Chimchar (T),,,
,-,-,1,-,-,-,-,-,-,Chimchar (Z),,,
,1,-,1,1,1,1,-,1,1,Monferno,,,
,1,-,-,-,-,-,-,-,-,Monferno (T),,,
,-,-,1,-,-,-,-,-,-,Monferno (Z),,,
,8,-,16,15,6,9,-,14,15,Infernape,,,
,9,-,-,-,-,-,-,-,-,Infernape (T),,,
,-,-,16,-,-,-,-,-,-,Infernape (Z),,,
,1,-,1,1,1,1,8,1,1,Piplup,,,
,1,-,-,-,-,-,-,-,-,Piplup (T),,,
,-,-,1,-,-,-,-,-,-,Piplup (Z),,,
,1,-,1,1,1,1,-,1,1,Prinplup,,,
,1,-,-,-,-,-,-,-,-,Prinplup (T),,,
,-,-,1,-,-,-,-,-,-,Prinplup (Z),,,
,9,-,10,10,7,10,-,11,9,Empoleon,,,
,9,-,-,-,-,-,-,-,-,Empoleon (T),,,
,-,-,10,-,-,-,-,-,-,Empoleon (Z),,,
,1,-,1,1,1,1,7,1,1,Starly,,,
,1,-,-,-,-,-,-,-,-,Starly (T),,,
,-,-,1,-,-,-,-,-,-,Starly (Z),,,
,1,-,1,1,1,1,-,1,1,Staravia,,,
,1,-,-,-,-,-,-,-,-,Staravia (T),,,
,-,-,1,-,-,-,-,-,-,Staravia (Z),,,
,5,-,5,6,6,4,-,7,9,Staraptor,,,
,5,-,-,-,-,-,-,-,-,Staraptor (T),,,
,-,-,5,-,-,-,-,-,-,Staraptor (Z),,,
